"Benchmark","Algorithm","Run","Hypervolume","GD","Time","ParetoSize"
"ZDT1","NSGAII",1,0.867913301532713,0.00317295257628047,17.8623688220978,100
"ZDT1","NSGAII",2,0.867447643546629,0.00386975826938192,17.5044760704041,100
"ZDT1","NSGAII",3,0.868109466165805,0.00342708044005021,16.4342641830444,100
"ZDT1","NSGAII",4,0.867577966357847,0.00365773178602686,16.2668950557709,100
"ZDT1","NSGAII",5,0.867858559034344,0.00343363023143651,16.3055191040039,100
"ZDT1","NSGAII",6,0.867131685550619,0.00353694071652127,16.3293349742889,100
"ZDT1","NSGAII",7,0.868635988461442,0.00337257554987412,16.2618961334229,100
"ZDT1","NSGAII",8,0.867707275965195,0.00306908595966687,16.2238779067993,100
"ZDT1","NSGAII",9,0.867607418396135,0.00333683617561732,16.2663669586182,100
"ZDT1","NSGAII",10,0.867761631199611,0.00356670576339121,16.27947306633,100
"ZDT1","NSGAII",11,0.867663015737205,0.00353173371987598,16.9783198833466,100
"ZDT1","NSGAII",12,0.867756556100763,0.0032911802107128,17.1137928962708,100
"ZDT1","NSGAII",13,0.866522617178257,0.00420395562574753,17.4266932010651,100
"ZDT1","NSGAII",14,0.868758353196118,0.00308088680394783,16.4490480422974,100
"ZDT1","NSGAII",15,0.867309123246253,0.00410400388841144,17.4091749191284,100
"ZDT1","NSGAII",16,0.86834282277111,0.00298388791742972,17.5136978626251,100
"ZDT1","NSGAII",17,0.867472438807938,0.0035128325724996,20.2625980377197,100
"ZDT1","NSGAII",18,0.868435887383048,0.00356444702694431,18.5279541015625,100
"ZDT1","NSGAII",19,0.867779969733001,0.00374645839078095,16.972177028656,100
"ZDT1","NSGAII",20,0.867731799687068,0.00330864632901448,16.4371569156647,100
"ZDT1","NSGAII",21,0.868014152505457,0.00365666737103606,16.9265711307526,100
"ZDT1","NSGAII",22,0.867927796898837,0.00340275803395428,16.7042720317841,100
"ZDT1","NSGAII",23,0.8686702618526,0.00320861111293147,18.6473309993744,100
"ZDT1","NSGAII",24,0.866734392866549,0.00402036763405032,18.2683939933777,100
"ZDT1","NSGAII",25,0.867286559879396,0.00360954441468876,17.0518751144409,100
"ZDT1","NSGAII",26,0.868157793366713,0.00366701379558984,17.8008019924164,100
"ZDT1","NSGAII",27,0.867894284701852,0.00380221122258037,16.7397980690002,100
"ZDT1","NSGAII",28,0.868176897000763,0.0118537418472256,16.2026801109314,100
"ZDT1","NSGAII",29,0.867967720412511,0.00324395370113732,16.2858669757843,100
"ZDT1","NSGAII",30,0.868445999996249,0.00304938033362784,16.1640889644623,100
"ZDT1","NSGAII",31,0.867910348160652,0.00403134432281789,16.2414319515228,100
"ZDT1","MO_AGD_PSO",1,0.868014391590558,0.00377395427783942,20.2697789669037,100
"ZDT1","MO_AGD_PSO",2,0.868077741962252,0.00416041011978478,20.2147741317749,100
"ZDT1","MO_AGD_PSO",3,0.868341801625574,0.00372492394050206,20.3386731147766,100
"ZDT1","MO_AGD_PSO",4,0.867451704920326,0.00400746163625848,20.3946480751038,100
"ZDT1","MO_AGD_PSO",5,0.86911039991597,0.00381735747072027,20.1027638912201,100
"ZDT1","MO_AGD_PSO",6,0.8688338200028,0.00287945357232111,20.45343708992,100
"ZDT1","MO_AGD_PSO",7,0.869056166065028,0.00351995842620813,21.1748960018158,100
"ZDT1","MO_AGD_PSO",8,0.867792915400239,0.00410041498747657,20.3804540634155,100
"ZDT1","MO_AGD_PSO",9,0.869050987114669,0.00338926243005714,20.3122999668121,100
"ZDT1","MO_AGD_PSO",10,0.868424660322099,0.00415871384367262,20.241142988205,100
"ZDT1","MO_AGD_PSO",11,0.868999923628024,0.00367954790517039,20.2129619121552,100
"ZDT1","MO_AGD_PSO",12,0.868402202522216,0.00430850616395085,20.3853921890259,100
"ZDT1","MO_AGD_PSO",13,0.868187917738827,0.00369602006611524,21.2325069904327,100
"ZDT1","MO_AGD_PSO",14,0.86898950663232,0.00357867944913308,21.773854970932,100
"ZDT1","MO_AGD_PSO",15,0.868843627141663,0.00334599704803458,21.5437300205231,100
"ZDT1","MO_AGD_PSO",16,0.868228055089395,0.00387738217742625,20.7623789310455,100
